Time [ s ],Casson [ s^-1 ],Cross [ s^-1 ],CY [ s^-1 ],Newtownian [ s^-1 ],Power [ s^-1 ]
1.51E+00,1.74E+02,1.01E+02,9.97E+01,1.75E+02,1.79E+02
1.52E+00,2.34E+02,2.46E+02,1.02E+02,2.35E+02,2.45E+02
1.53E+00,2.89E+02,2.93E+02,3.11E+02,2.91E+02,3.06E+02
1.54E+00,3.42E+02,3.43E+02,3.44E+02,3.44E+02,3.64E+02
1.55E+00,3.94E+02,3.94E+02,3.89E+02,3.96E+02,4.20E+02
1.56E+00,4.44E+02,4.44E+02,4.38E+02,4.46E+02,4.74E+02
1.57E+00,4.90E+02,4.91E+02,4.85E+02,4.92E+02,5.25E+02
1.58E+00,5.31E+02,5.33E+02,5.26E+02,5.34E+02,5.72E+02
1.59E+00,5.68E+02,5.69E+02,5.61E+02,5.71E+02,6.14E+02
1.60E+00,5.98E+02,5.99E+02,5.91E+02,6.01E+02,6.48E+02
1.61E+00,6.17E+02,6.20E+02,6.11E+02,6.21E+02,6.73E+02
1.62E+00,6.23E+02,6.26E+02,6.18E+02,6.27E+02,6.83E+02
1.63E+00,6.15E+02,6.18E+02,6.11E+02,6.19E+02,6.76E+02
1.64E+00,5.93E+02,5.97E+02,5.90E+02,5.98E+02,6.55E+02
1.65E+00,5.61E+02,5.65E+02,5.57E+02,5.65E+02,6.19E+02
1.66E+00,5.19E+02,5.23E+02,5.15E+02,5.24E+02,5.72E+02
1.67E+00,4.70E+02,4.73E+02,4.65E+02,4.74E+02,5.15E+02
1.68E+00,4.14E+02,4.17E+02,4.09E+02,4.19E+02,4.52E+02
1.69E+00,3.54E+02,3.57E+02,3.49E+02,3.58E+02,3.83E+02
1.70E+00,2.91E+02,2.93E+02,2.86E+02,2.95E+02,3.12E+02
1.71E+00,2.31E+02,2.33E+02,2.25E+02,2.35E+02,2.44E+02
1.72E+00,1.88E+02,1.90E+02,1.81E+02,1.93E+02,1.95E+02
1.73E+00,1.69E+02,1.71E+02,1.64E+02,1.73E+02,1.78E+02
1.74E+00,1.59E+02,1.60E+02,1.53E+02,1.62E+02,1.67E+02
1.75E+00,1.48E+02,1.50E+02,1.43E+02,1.52E+02,1.55E+02
1.76E+00,1.39E+02,1.41E+02,1.34E+02,1.43E+02,1.45E+02
1.77E+00,1.32E+02,1.33E+02,1.27E+02,1.35E+02,1.36E+02
1.78E+00,1.25E+02,1.26E+02,1.21E+02,1.29E+02,1.29E+02
1.79E+00,1.21E+02,1.21E+02,1.17E+02,1.23E+02,1.23E+02
1.80E+00,1.17E+02,1.17E+02,1.13E+02,1.20E+02,1.18E+02
1.81E+00,1.14E+02,1.14E+02,1.11E+02,1.17E+02,1.14E+02
1.82E+00,1.12E+02,1.12E+02,1.09E+02,1.14E+02,1.12E+02
1.83E+00,1.10E+02,1.10E+02,1.07E+02,1.13E+02,1.10E+02
1.84E+00,1.09E+02,1.09E+02,1.06E+02,1.11E+02,1.08E+02
1.85E+00,1.08E+02,1.08E+02,1.05E+02,1.10E+02,1.07E+02
1.86E+00,1.07E+02,1.07E+02,1.04E+02,1.09E+02,1.06E+02
1.87E+00,1.06E+02,1.06E+02,1.03E+02,1.08E+02,1.05E+02
1.88E+00,1.05E+02,1.05E+02,1.03E+02,1.07E+02,1.04E+02
1.89E+00,1.05E+02,1.05E+02,1.02E+02,1.07E+02,1.03E+02
1.90E+00,1.04E+02,1.04E+02,1.02E+02,1.06E+02,1.03E+02
1.91E+00,1.04E+02,1.04E+02,1.01E+02,1.06E+02,1.03E+02
1.92E+00,1.03E+02,1.03E+02,1.01E+02,1.05E+02,1.02E+02
1.93E+00,1.03E+02,1.03E+02,1.01E+02,1.05E+02,1.02E+02
1.94E+00,1.02E+02,1.03E+02,1.00E+02,1.04E+02,1.02E+02
1.95E+00,1.02E+02,1.02E+02,1.00E+02,1.04E+02,1.01E+02
1.96E+00,1.02E+02,1.02E+02,1.00E+02,1.04E+02,1.01E+02
1.97E+00,1.02E+02,1.02E+02,1.00E+02,1.03E+02,1.01E+02
1.98E+00,1.02E+02,1.02E+02,9.99E+01,1.03E+02,1.01E+02
1.99E+00,1.02E+02,1.02E+02,9.98E+01,1.03E+02,1.01E+02
2.00E+00,1.01E+02,1.01E+02,9.97E+01,1.03E+02,1.01E+02
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
